GO,Tdro,Ajap,Pvin,Pqin,Tele,Gfla,Lhet,Cchi,Asoj,Nvit,Ppup,Acal,Aful,Csol,Pven,Lbou,Hheb,Btre,Vvel
GO:0050872,680.9348319999999,673.46948431086,362.99734013631,2534.8337216528,5903.111571716699,89.81245407749999,411.212308151,1048.44405521478,1075.00785251858,200.016285429662,361.53953973984,1261.74980723793,987.851328288,10647.817221965,785.03009769639,899.5758035666,449.93775418256,54.12506365422,2183.4259820352
GO:0050873,569.03696,730.9150526803401,320.96053449537,3047.3064888848,5947.3453430862,326.365493223,790.4098377375,771.8454458971801,1601.54307584173,393.5289748523201,640.58516449384,1434.27040196988,968.1097812336002,10907.604825975,1007.8891366908,2010.99549405404,772.3730857292,136.636806850132,3384.710572674901
GO:1903699,288.862638,153.396178517458,146.988976812381,1893.74905211918,4511.5639635339,28.4417657601,166.316772129,147.65572808418,681.85603501625,83.420240131254,191.56659607984,693.4738425406201,213.348607983264,73.58798005933001,99.151242222786,270.66949553798,159.76550962056,17.120896039792,441.42646582104
GO:1903964,287.525974,60.752418931634,132.748635185661,1867.65465806246,4460.526894871799,11.32672914681,161.5355895085,77.896729388244,673.0912834552499,71.85609061588599,166.251495245696,681.71458620852,143.462593870176,67.824853237801,82.098504288801,265.75527940394,143.91032552004,14.21870817554,410.47222861848
GO:1903966,287.525974,60.752418931634,132.748635185661,1867.65465806246,4460.526894871799,11.32672914681,161.5355895085,77.896729388244,673.0912834552499,71.85609061588599,166.251495245696,681.71458620852,143.462593870176,67.824853237801,82.098504288801,265.75527940394,143.91032552004,14.21870817554,410.47222861848
GO:0007625,538.9142820000001,5271.9605946331,443.65775103045,1421.47458021944,902.86251205005,936.21822756,376.4550708780001,789.9959450274,341.221352403058,594.24861397009,995.37854897144,1487.60801545395,3075.9744706464,70.36674520134599,1399.02161820252,579.06371864864,625.90284852948,100.15832939044,648.31851986958
GO:0032429,250.767714,4614.3658077772,109.272272018481,323.98217385686,381.46012595271,33.7043110866,60.6876321941,827.61706957248,916.53786470201,121.259964816625,251.41405149368,337.47454977129,2687.43181283232,28.27324581708,280.7536636425299,73.31285468289599,182.7698758556,12.4013435167316,317.5834943778
GO:0032430,79.913412,58.89956230142,85.41684100920301,169.047632748784,298.23829822746,33.7043110866,52.5345145319,791.5771525722599,903.55999503006,98.004335280076,151.22115791952,214.691367067233,54.615899026368,16.983622969071,181.262842421778,69.70530838579201,121.520928836296,12.2403806146688,299.82775587261
GO:0001990,967.601522,5309.305949704099,409.43481611274,1733.52216467048,723.986254665,2730.40736892,2261.41428099,1564.4016813732,5989.186856541801,430.18568502085,415.69429201728,3798.2896892355,4312.6099560672,188.34714353455,677.87792608224,7233.2229571432,1071.23229326072,128.628977106172,1270.9221664713
GO:0001991,33.75076600000001,336.38357899093,164.8323228486,695.79031344064,62.096994873063,287.037020886,1727.561332875,498.93224361804,395.807114729452,157.673770617812,203.33953089512,252.73047330516,274.47934616448,53.025091504737,223.91072641938,172.260629759824,229.11088878576,16.666099283812002,509.43285057399
GO:0002002,33.75076600000001,336.38357899093,164.8323228486,695.79031344064,62.096994873063,287.037020886,1727.561332875,498.93224361804,395.807114729452,157.673770617812,203.33953089512,252.73047330516,235.269671025024,53.025091504737,223.91072641938,172.260629759824,229.11088878576,16.666099283812002,509.43285057399
GO:0002003,32.652792,335.708615877,155.46380024538,695.32588579426,44.59693206816,286.72444416,1720.758949135,466.55762415654,393.924497986397,156.210021785005,199.61799921512,242.2652977464,232.949930964672,52.93106436369401,220.6125446421,170.88724636765,221.85252062468,15.0743731304212,466.35537530148
GO:0003044,967.601522,5421.7420810425,465.4493187168,1831.56519804656,723.986254665,2975.98145922,2324.44913162,1635.938541486,6034.7685379559,480.3320666932399,496.6463399508,4014.4030001523,4402.7628589824,393.08331631393,799.23121131087,7310.571244196999,1251.3984954904,131.681748135404,1314.97202928
GO:0003081,934.089446,5308.0018336347,391.06825180797,1730.95086201608,670.68806833332,945.258058668,1881.330681305,1517.131726764,833.73984537508,417.61824745627,413.45243907328,3786.1587193452,4307.339092387199,177.14250557927,673.90674750594,685.6306480948,1060.17236882228,127.782881354316,1131.9616693812
GO:0007042,530.8465600000001,4725.5330873226,847.03838942514,5543.3703005824,1335.6357049521,307.92635643,352.839136185,923.06565603048,548.859032922982,1166.10451880708,659.85571988568,1051.28257882131,2715.8423116992,487.64182782689,1256.87950232715,583.22949661206,775.44935166524,28.804858203652,2402.6200194654
GO:0035751,572.856,4823.4615521901,878.14131744636,5652.7665568316,1380.44979635094,412.461892458,392.7956145195,1030.23439557312,692.67281015852,1233.28128554407,713.70126616632,1162.61457970995,2786.8223359104,496.82917206681,1335.23590909488,728.63360034092,893.18367747624,98.41419232176798,2422.2955019256
GO:0007448,168.51514,279.375154953639,608.94279026724,1057.20626305926,788.7121180440299,107.052282876,127.56538860875,497.7454530591,159.701004333862,210.276066544382,637.71468944456,1119.94202412744,213.868575791904,153.87791669767,273.06440905536,391.98005663822,333.57780226636,271.2751048175601,762.46507510971
GO:0007487,10.072718,13.425566826189,265.35403869447,26.338659001702,446.12369866737,0.0,11.22302760973,551.20195468476,138.246388312096,12.0923851739754,79.129625152008,59.763895208412,13.4131543824672,31.091519791101,222.96438469578,11.8979030914144,115.87884833056,48.90408387138001,496.2903927786
GO:0035221,41.29337,32.023022519275,268.37159583366,541.8523594129,237.69176480019,22.16111484972,52.76382367715,151.49135017386,65.596287740868,126.28692611145,223.91178406808,702.30194913804,34.87518111216,11.383853963647,18.85652985801,101.367370163904,122.64246330936,132.34367719056797,272.67865831395
GO:0035224,41.29337,32.023022519275,268.37159583366,541.8523594129,237.69176480019,22.16111484972,52.76382367715,151.49135017386,65.596287740868,126.28692611145,223.91178406808,702.30194913804,34.87518111216,11.383853963647,18.85652985801,101.367370163904,122.64246330936,132.34367719056797,272.67865831395
GO:0006482,532.469652,812.2351159998301,470.89973629116,1654.91194220004,1661.55096391344,581.3604597570001,215.972148986,910.88440289442,356.335324464678,223.434093426395,588.0806950539201,1084.81330657194,579.8820393897599,155.77672911977,700.55547616509,594.89683904964,509.92082308696,175.3877887128,861.1313465836201
GO:0008214,532.469652,812.2351159998301,470.89973629116,1654.91194220004,1661.55096391344,581.3604597570001,215.972148986,910.88440289442,356.335324464678,223.434093426395,588.0806950539201,1084.81330657194,579.8820393897599,155.77672911977,700.55547616509,594.89683904964,509.92082308696,175.3877887128,861.1313465836201
GO:0016577,416.657264,515.4501732794799,400.79698997778,1419.88819050158,1162.54722415095,444.902781939,196.7201817745,788.5868608959,328.420562297385,198.825091281223,477.06784361456,572.2991259516301,311.10048735456,149.56980812664,545.65542948033,416.30083493166,486.50355948444,138.637487179788,847.5952351545001
GO:0070076,396.989208,464.19534561171,335.82085030131,1270.61191882852,1088.23363803126,351.201071529,183.811202747,750.7090894561201,284.852083368632,186.082837169327,446.20205204288,498.00131975775,284.1645409248,126.40567788728,457.9070181999301,304.85349647788,403.90144029988,99.9810351345,773.0143991535
GO:0031493,189.75855,462.18787628336,764.95666878114,1329.22659172478,1017.23145294033,120.6470804847,491.8370677739999,964.61930011374,270.35390095234703,183.417619151159,440.48007243352,887.3754216302101,355.8756030384,236.38933745768,577.0654062201601,1431.45406386204,587.07328500416,50.791039507728,335.55198857901
GO:0005537,539.343924,1063.50222780979,745.8443395253399,612.69239143632,2325.5601004206,120.7942200234,672.3640422975,1487.7832032702,938.243140694,1476.22693492792,885.50277942064,1214.36821581825,887.00674532352,286.31453771184,524.32623672858,1835.17835423384,1615.7975890052,51.905372328668,335.5514290974301
GO:0009311,3066.020788,7452.811739242999,7044.018964537499,4812.2307886094,10166.5443165831,4976.672419949999,1367.603822662,3695.698383989999,5181.369226497569,3096.0237093718,687.5832588028,10801.0408663146,3997.8274486272,3080.0263695795,5306.192145805199,3285.391034812,2986.2128431064,409.9174527430801,22665.393547272
GO:0009313,318.078294,344.02752343055,4296.607423943999,22.491535247306,2760.7735968948,1.71030706308,320.292445173,694.7533010201399,182.549604841552,687.64359887561,32.280656173384,603.78401322228,696.53951849088,105.58467400602,217.40574004422,1845.48340717258,891.6246821990801,59.17773813757201,4178.868994857899
GO:1901660,38.90647,271.950500051479,74.528243036313,568.52050378374,441.3547649826,43.6471853895,159.3900786515,96.944255182488,566.25626733539,129.017858753611,219.11923660312,237.95627243076,72.00863052796801,184.18090256049,357.60884361579,78.32613031578799,121.721389060536,12.2542514309396,172.76982462285
GO:0030544,5527.34433,8439.3557161809,5687.7193549209,3287.455426876,8590.308396885901,3684.20664381,2255.495449725,5463.6103056474,10669.3515177871,2684.3821602591,2013.3685583792,8650.4457736944,4820.971421232,651.3853416693701,2570.5156449921,4025.4407305428,2282.3523587416,819.4721116230401,3817.0158012441
GO:0032780,1070.095008,2060.58199125126,1235.81760663603,5294.811812479199,3699.641853543601,369.633976866,401.3697578435001,1961.6987591316,4204.179411941301,1101.67412102252,29509.41006876,6515.9717235345,3763.2728575104,687.19359762735,564.09707008473,789.91526879456,1356.9508951832,788.0745632529599,3180.9588022275
GO:0101031,2110.640194,5150.7159591965,1125.14537279232,3942.5137886712,3332.9407532004,3214.72411491,696.825899209,1281.22901967288,1466.33749985338,1054.17395926408,2375.8050292752,4100.4509236236,2725.55142408,296.21985091556,2384.9109561264,1126.08230560944,1746.7487676348,134.56162240062798,1652.0190257697
GO:0032469,719.5548739999999,2875.153793035,1675.4294378448,6436.8151721226,5328.8956964961,12536.98990236,2349.624420145,8307.717993337199,9504.9475281862,1713.38137723937,2425.7022659744,5017.2497032026,2523.76899448224,1894.6721415468,2934.4946404176,6207.932707122801,6165.0591773716,446.45781060224,2186.1587045298
GO:0032471,661.9828459999999,736.94458618219,210.95255249607,1353.43009188764,2277.78166489986,500.729795412,162.9620146115,887.18617436346,2895.96782260796,273.83709920541,610.1947294710401,1667.27602299936,649.77164902464,828.22130147702,1130.92831745127,626.3764014124,1778.561065492,78.742984131288,730.61063556558
GO:0035584,357.271192,857.33369140477,181.24062895521,1126.38030609384,751.7886708538799,508.8082223070001,100.10369201635,683.4567029568,1707.4590389424802,171.02046556019,411.41770619344,1066.08553396203,631.4588746972801,671.38391369687,792.3782389025099,546.13584216782,1361.3770698596,35.113149586344,160.64260047297
GO:0042287,4352.130246,4077.0093323946,1162.57793103606,3164.3010335768,3851.372035204201,11259.19596879,1902.99441464,1763.346598389,2955.77169908042,6168.9013114504,3411.9953818144,4585.6252042695,2732.2864446336,1382.4251950575,2969.146612887,3964.6981725056,4043.198949822,386.985300725,1904.5644441957
GO:0042288,4333.89433,4028.3519029744,1143.74936602707,2926.3427375848,3810.5352958131,11257.14751854,1902.71234486,1740.3667944888,2952.23070563922,6154.0474153792,3405.308304234401,4450.6042986156,2706.626242824,1218.6224540259,2892.5141301966,3964.460012546,4003.055187154,386.8781460282,1726.7230503201
