GO,Tdro,Ajap,Pvin,Pqin,Tele,Gfla,Lhet,Cchi,Asoj,Nvit,Ppup,Acal,Aful,Csol,Pven,Lbou,Hheb,Btre,Vvel
GO:0019219,147351.92984,219640.007878944,90746.527261038,201533.16463354,216992.166798825,140135.2279635,87553.99825125,198824.48558226,218181.285618747,87942.98543508901,169437.688354256,251462.88480111,158377.083287232,92219.660232513,212926.12785795,134875.332811844,121594.549464472,31207.254372208,165973.27035303
GO:0019222,412135.568378,663078.83157575,280023.90424272,500776.6625370001,535105.12459041,268335.30339,192581.3957235,387967.15615818,769892.0585619201,313127.40554149,503569.2160592,675679.58251068,443556.15193536,172747.76767655,445418.81490444,583051.80755048,360956.85262312,61645.57879705999,315594.25329474
GO:0031323,255517.119882,423707.31153404,180748.92697554,399021.74931562,407430.79686927,229588.9933029,141394.29249525,330743.60205114,395034.438010514,185245.369833559,314187.56975408,435427.5004302301,294804.50152416,165721.74571073,329290.01124786,516640.15172704,226477.38454108,49448.45486056,263853.91230009
GO:0031324,150941.684226,236258.774153297,98384.442166164,205109.72672634,224643.162538935,131975.5419906,59174.0952372,172976.41029294,215016.70124164,102699.17134342,144951.85369828,236929.76994753,164630.517298176,73121.40963161101,163644.544065912,304513.47021638,119605.080051596,27305.865578032,158512.98825789
GO:0031326,168072.942906,299728.04690068,124417.859190966,262604.75728402,278782.39864323,155037.2507607,105914.01268255,224961.44898072,286151.425213136,127930.65886217,229843.25105808,305872.66583223,211900.361206656,121046.75988328,248835.7820481,246434.1049385,150562.0123898,35714.09065213201,190512.41078436
GO:0031327,80713.97826,138856.721430299,57919.676602161,118359.353199878,128831.731330824,82812.4858869,34378.62347385,90197.078740914,128054.844412924,58925.937355628,84315.07622849601,137293.110063162,100329.617328,60912.63640467501,103489.171712316,66488.63375752,64883.087108016,15516.4413127432,102595.02808002
GO:0031503,8338.396460000002,22354.7742754501,6926.1159583902,25344.738063908,21169.7793869445,14455.57307271,6832.159808819999,16238.818317114,23756.2093370632,8668.988541961999,17549.7349875024,20599.7037443472,15531.9303424512,3568.3691889846,14583.7438980246,11179.4013646432,14985.688064112,2345.8581278136,9914.6910792972
GO:0031974,296738.882882,466206.9209019199,194177.62818432,388341.82573054,419002.59867525,248380.560813,231670.6681455,271189.1719893,500363.900374178,286013.8564518,330638.60672512,467000.50992138,315339.2259456,230592.45333674,319084.9029966,271179.90776728,254014.93261404,76842.643546064,234413.67983208
GO:0031981,250955.276602,394507.76904047,170972.94546189,303203.8054492,326034.43351974,122252.3479485,90377.7408252,211272.7579215,438763.392543711,235789.952245456,287563.92332984,394094.74278546,242547.45529536,92815.461999117,271696.45177272,211428.180288442,200588.47246584,65756.305826056,186733.68205086
GO:0033036,270203.76332,480768.85527361,193262.08480392,323721.9192279199,345612.5889226199,159367.9164693,113544.7447967,216757.9850562,627781.6545368499,271642.30724307,346980.33451736,486522.18547767,312469.0245504,86262.17567050598,263069.16550356,251336.87582118,277625.69511232,38496.959079044,153022.22899047
